Orly	Alezan	Corsaire	Directoire	Ducat	Fontenoy	Icare	Zodiaque	Pavois	Cocker	Escale	Hotesse
Vieillot	1	2	14	38	18	10	9	5	9	4	0	1
Nouveau_riche	20	9	1	11	10	9	1	1	20	9	7	12
Sobre_élégant	9	23	1	15	7	11	6	2	7	12	3	17
Cocasse	1	3	15	15	6	5	12	18	4	25	2	2
Racé	4	33	7	8	3	6	6	4	5	15	5	3
Mièvre	3	9	1	7	7	5	12	9	6	9	6	13
Distingué	11	9	1	17	4	21	6	1	5	4	5	27
Vulgaire	4	4	32	2	6	0	9	7	3	10	10	7
Pourhomme	9	12	23	4	7	13	5	5	10	5	13	0
Pourfemme	9	3	9	8	4	2	6	8	1	6	23	33
Pourpetitenature	7	5	2	7	11	2	6	11	9	24	10	0
